Orðflokkur;mark;íslensk skýring;ensk skýring;
so;GM-FH-NT-2P-ET;germynd framsöguháttur nútíð 2. persóna eintölu;active voice indicative present tense 2nd person singular;
so;GM-FH-NT-2P-FT;germynd framsöguháttur nútíð 2. persóna fleirtölu;active voice indicative present tense 2nd person plural;
so;GM-FH-NT-3P-ET;germynd framsöguháttur nútíð 3. persóna eintölu;active voice indicative present tense 3rd person singular;
so;GM-FH-NT-3P-FT;germynd framsöguháttur nútíð 3. persóna fleirtölu;active voice indicative present tense 3rd person plural;
so;GM-FH-ÞT-1P-ET;germynd framsöguháttur þátíð 1. persóna eintölu;active voice indicative past tense 1st person singular;
so;GM-FH-ÞT-1P-FT;germynd framsöguháttur þátíð 1. persóna fleirtölu;active voice indicative past tense 1st person plural;
so;GM-FH-ÞT-2P-ET;germynd framsöguháttur þátíð 2. persóna eintölu;active voice indicative past tense 2nd person singular;
so;GM-FH-ÞT-2P-FT;germynd framsöguháttur þátíð 2. persóna fleirtölu;active voice indicative past tense 2nd person plural;
so;GM-FH-ÞT-3P-ET;germynd framsöguháttur þátíð 3. persóna eintölu;active voice indicative past tense 3rd person singular;
so;GM-FH-ÞT-3P-FT;germynd framsöguháttur þátíð 3. persóna fleirtölu;active voice indicative past tense 3rd person plural;
so;GM-NH;germynd nafnháttur;active voice infinitive;
so;GM-NH-ÞT;germynd nafnháttur þátíð;active voice infinitive past tense;
so;GM-SAGNB;germynd sagnbót;active voice supine;
so;GM-VH-NT-1P-ET;germynd viðtengingarháttur nútíð 1. persóna eintölu;active voice subjunctive present tense 1st person singular;
so;GM-VH-NT-1P-FT;germynd viðtengingarháttur nútíð 1. persóna fleirtölu;active voice subjunctive present tense 1st person plural;
so;GM-VH-NT-2P-ET;germynd viðtengingarháttur nútíð 2. persóna eintölu;active voice subjunctive present tense 2nd person singular;
so;GM-VH-NT-2P-FT;germynd viðtengingarháttur nútíð 2. persóna fleirtölu;active voice subjunctive present tense 2nd person plural;
so;GM-VH-NT-3P-ET;germynd viðtengingarháttur nútíð 3. persóna eintölu;active voice subjunctive present tense 3rd person singular;
so;GM-VH-NT-3P-FT;germynd viðtengingarháttur nútíð 3. persóna fleirtölu;active voice subjunctive present tense 3rd person plural;
so;GM-VH-ÞT-1P-ET;germynd viðtengingarháttur þátíð 1. persóna eintölu;active voice subjunctive present tense 1st person singular;
so;GM-VH-ÞT-1P-FT;germynd viðtengingarháttur þátíð 1. persóna fleirtölu;active voice subjunctive present tense 1st person plural;
so;GM-VH-ÞT-2P-ET;germynd viðtengingarháttur þátíð 2. persóna eintölu;active voice subjunctive present tense 2nd person singular;
so;GM-VH-ÞT-2P-FT;germynd viðtengingarháttur þátíð 2. persóna fleirtölu;active voice subjunctive present tense 2nd person plural;
so;GM-VH-ÞT-3P-ET;germynd viðtengingarháttur þátíð 3. persóna eintölu;active voice subjunctive present tense 3rd person singular;
so;GM-VH-ÞT-3P-FT;germynd viðtengingarháttur þátíð 3. persóna fleirtölu;active voice subjunctive present tense 3rd person plural;
so;LHNT;lýsingarháttur nútíðar;present participle;
so;LHÞT-SB-HK-EFET;lýsingarháttur þátíðar sterk beyging hvorugkyn eignarfall eintölu;past participle indefinite neuter genitive singular;
